Railroad,"Construction, Masonry and Maintenance,Maintenance, Technicians and Repair,Blacksmith and Helper,Insulation and insulator,Carpentry, Masonry, and Insulation,Engineering, Design and Maintenance,Pipe and Welding,Non-industrial,Miscellaneous,Brake and Clutch,Burner,Casting and Foundry,Operator and Production,Boiler"
Automotive/ Mechanical Friction ,"Construction, Masonry and Maintenance,Maintenance, Technicians and Repair,Foundry and Welding,Carpentry, Masonry, and Insulation,Engineering, Design and Maintenance,Insulation and insulator,Pipe and Welding,Brake and Clutch,Burner,Casting and Foundry,Non-industrial,Boiler"
Asbestos Products Manufacturing,"Construction, Masonry and Maintenance,Maintenance, Technicians and Repair,Insulation and insulator,Carpentry, Masonry, and Insulation,Assembly Line and Production,Electrical Engineering,Engineering, Design and Maintenance,Management and Supervision,Pipe and Welding,Non-industrial,Warehouse, Material Handling, and Logistics,Asbestos handling,Operator and Production,Boiler"
Aerospace/ Aviation,"Construction, Masonry and Maintenance,Maintenance, Technicians and Repair,Insulation and insulator,Carpentry, Masonry, and Insulation,Engineering, Design and Maintenance,Pipe and Welding,Brake and Clutch,Burner,Non-industrial,Boiler"
Other,"Construction, Masonry and Maintenance,Maintenance, Technicians and Repair,Blacksmith and Helper,Insulation and insulator,Carpentry, Masonry, and Insulation,Engineering, Design and Maintenance,Pipe and Welding,Miscellaneous,Burner,Masonry and brick,Non-industrial,Boiler"
Non-Asbestos Products Manufacturing,"Structural and Metalworking,Construction, Masonry and Maintenance,Maintenance, Technicians and Repair,Furnace,Foundry and Welding,Carpentry, Masonry, and Insulation,Engineering, Design and Maintenance,Insulation and insulator,Pipe and Welding,Non-industrial,Miscellaneous,Brake and Clutch,Burner,Tile,Casting and Foundry,Operator and Production,Boiler"
Maritime,"Construction, Masonry and Maintenance,Maintenance, Technicians and Repair,Insulation and insulator,Carpentry, Masonry, and Insulation,Electrical Engineering,Engineering, Design and Maintenance,Pipe and Welding,Burner,Casting and Foundry,Non-industrial,Boiler"
Tire & Rubber,"Construction, Masonry and Maintenance,Maintenance, Technicians and Repair,Mill and Mold,Insulation and insulator,Carpentry, Masonry, and Insulation,Engineering, Design and Maintenance,Pipe and Welding,Burner,Painting and Coating,Non-industrial,Boiler"
Petrochemical,"Construction, Masonry and Maintenance,Maintenance, Technicians and Repair,Foreman and supervisor,Painting and Coating,Supervision and Management,Foundry and Welding,Electrical Engineering,Carpentry, Masonry, and Insulation,Engineering, Design and Maintenance,Insulation and insulator,Management and Supervision,Pipe and Welding,Miscellaneous,Non-industrial,Warehouse, Material Handling, and Logistics,Casting and Foundry,Operator and Production,Boiler"
Textile,"Construction, Masonry and Maintenance,Maintenance, Technicians and Repair,Insulation and insulator,Carpentry, Masonry, and Insulation,Engineering, Design and Maintenance,Pipe and Welding,Burner,Foundry and Welding,Non-industrial,Boiler"
Iron & Steel,"Maintenance, Technicians and Repair,Pipe and Welding,Engineering, Design and Maintenance,Structural and Metalworking,Boiler,Supervision and Management,Warehouse, Material Handling, and Logistics,Painting and Coating,Non-industrial,Casting and Foundry,Construction, Masonry and Maintenance,Carpentry, Masonry, and Insulation,Management and Supervision,Miscellaneous,Operator and Production,Insulation and insulator,Electrical Engineering,Assembly Line and Production,Foundry and Welding"
Construction,"Brick and masonry,Maintenance, Technicians and Repair,Pipe and Welding,Engineering, Design and Maintenance,Structural and Metalworking,Boiler,Painting and Coating,Non-industrial,Casting and Foundry,Construction, Masonry and Maintenance,Carpentry, Masonry, and Insulation,Management and Supervision,Miscellaneous,Burner,Tile,Operator and Production,Insulation and insulator,Electrical Engineering,Foundry and Welding"
Insulation,"Construction, Masonry and Maintenance,Maintenance, Technicians and Repair,Insulation and insulator,Carpentry, Masonry, and Insulation,Electrical Engineering,Engineering, Design and Maintenance,Pipe and Welding,Miscellaneous,Non-industrial,Burner,Warehouse, Material Handling, and Logistics,Casting and Foundry,Operator and Production,Boiler"
Military,"Construction, Masonry and Maintenance,Maintenance, Technicians and Repair,Shipyard, Stevedore, and Longshore,Insulation and insulator,Carpentry, Masonry, and Insulation,Engineering, Design and Maintenance,Pipe and Welding,Burner,Non-industrial,Boiler"
Utilities,"Maintenance, Technicians and Repair,Pipe and Welding,Engineering, Design and Maintenance,Boiler,Supervision and Management,Warehouse, Material Handling, and Logistics,Painting and Coating,Non-industrial,Casting and Foundry,Construction, Masonry and Maintenance,Foreman and supervisor,Carpentry, Masonry, and Insulation,Management and Supervision,Miscellaneous,Burner,Operator and Production,Insulation and insulator,Electrical Engineering,Foundry and Welding"
Longshore,"Construction, Masonry and Maintenance,Maintenance, Technicians and Repair,Shipyard, Stevedore, and Longshore,Insulation and insulator,Carpentry, Masonry, and Insulation,Engineering, Design and Maintenance,Pipe and Welding,Miscellaneous,Burner,Foundry and Welding,Non-industrial,Boiler"
Asbestos Abatement ,"Construction, Masonry and Maintenance,Maintenance, Technicians and Repair,Insulation and insulator,Carpentry, Masonry, and Insulation,Engineering, Design and Maintenance,Pipe and Welding,Miscellaneous,Burner,Non-industrial,Boiler"
Chemical,"Construction, Masonry and Maintenance,Maintenance, Technicians and Repair,Foreman and supervisor,Painting and Coating,Supervision and Management,Foundry and Welding,Carpentry, Masonry, and Insulation,Electrical Engineering,Engineering, Design and Maintenance,Insulation and insulator,Pipe and Welding,Miscellaneous,Non-industrial,Burner,Warehouse, Material Handling, and Logistics,Casting and Foundry,Operator and Production,Boiler"
Shipyard - Construction/ Repair,"Maintenance, Technicians and Repair,Pipe and Welding,Engineering, Design and Maintenance,Structural and Metalworking,Boiler,Supervision and Management,Maritime,Warehouse, Material Handling, and Logistics,Painting and Coating,Casting and Foundry,Non-industrial,Construction, Masonry and Maintenance,Blacksmith and Helper,Carpentry, Masonry, and Insulation,Management and Supervision,Miscellaneous,Operator and Production,Tile,Shipyard, Stevedore, and Longshore,Insulation and insulator,Electrical Engineering,Foundry and Welding"
